"SOURCE ID: Author/Org, Date, Info",Link,World / Drawdown Region,Specific Geographic Location,Source Validation Code,Year / Date,License Code,Raw Data Input,Original Units,Conversion calculation,Common Units,Weight,Assumptions,Exclude Data?
"Zhang & Ma 2003; China, establishment cost for bamboo (min of range); Zhang, W., & Ma, N. (2003). High-Yielding Bamboo Plantations for Paper and Pulp Production. Retrieved from Subtropical Institute of Forestry, Chinese Academy of Forestry website: http://www.inbar.int/sites/default/files/bamboo%20plantation%20-%20highyield%20stands.pdf",https://www.researchgate.net/file.PostFileLoader.html?id=5868dca996b7e4df99119ac1&assetKey=AS%3A445669266726912%401483267241855,Asia (Sans Japan),"China, Zhejiang Prov.",2 - Public Sector/ Multilateral Agency,2003,,11820.0,RMB 2003/ha/yr,1848.2181818181818,US$2014/ ha/ yr,,"Refer table 3, intensive management - excluded because not annual value",True
"Zhang & Ma 2003; China, establishment cost for bamboo (min of range); Zhang, W., & Ma, N. (2003). High-Yielding Bamboo Plantations for Paper and Pulp Production. Retrieved from Subtropical Institute of Forestry, Chinese Academy of Forestry website: http://www.inbar.int/sites/default/files/bamboo%20plantation%20-%20highyield%20stands.pdf",https://www.researchgate.net/file.PostFileLoader.html?id=5868dca996b7e4df99119ac1&assetKey=AS%3A445669266726912%401483267241855,Asia (Sans Japan),"China, Zhejiang Prov.",2 - Public Sector/ Multilateral Agency,2003,,9831.0,RMB 2003/ha/yr,1537.2109090909094,US$2014/ ha/ yr,,"Refer table 3, less intensive management - excluded because not annual value",True
"Zhang & Ma 2003; China, establishment cost for bamboo (min of range); Zhang, W., & Ma, N. (2003). High-Yielding Bamboo Plantations for Paper and Pulp Production. Retrieved from Subtropical Institute of Forestry, Chinese Academy of Forestry website: http://www.inbar.int/sites/default/files/bamboo%20plantation%20-%20highyield%20stands.pdf",https://www.researchgate.net/file.PostFileLoader.html?id=5868dca996b7e4df99119ac1&assetKey=AS%3A445669266726912%401483267241855,Asia (Sans Japan),"China, Zhejiang Prov.",2 - Public Sector/ Multilateral Agency,2003,,6120.0,RMB 2003/ha/yr,956.9454545454546,US$2014/ ha/ yr,,"Refer table 4, represent net cash flow, thus excluded",True
"Pande 2012; operational costs (years 2-7), India case study 1; Pande, V. C., Kurothe, R. S., Rao, B. K., Kumar, G., Parandiyal, A. K., Singh, A. K., … others. (2012). Economic analysis of bamboo plantation in three major ravine systems of India. Agricultural Economics Research Review, 25(1)",http://ageconsearch.umn.edu/bitstream/126042/1/5-VC-Pande.pdf,Asia (Sans Japan),India,1  - Peer Reviewed,2012,,34850.0,Ruppee 2011/ha/yr,813.1666666666667,US$2014/ ha/ yr,,Refer table 6; average annual costs (for years 7 and onwards) in Mahi Ravines,
"Pande 2012; operational costs (years 2-7), India case study 2; Pande, V. C., Kurothe, R. S., Rao, B. K., Kumar, G., Parandiyal, A. K., Singh, A. K., … others. (2012). Economic analysis of bamboo plantation in three major ravine systems of India. Agricultural Economics Research Review, 25(1)",http://ageconsearch.umn.edu/bitstream/126042/1/5-VC-Pande.pdf,Asia (Sans Japan),India,1  - Peer Reviewed,2012,,33250.0,Ruppee 2011/ha/yr,775.8333333333334,US$2014/ ha/ yr,,Refer table 6; average annual costs (for years 7 and onwards) in Chambal Ravines,
"Pande 2012; operational costs (years 2-7), India case study 3; Pande, V. C., Kurothe, R. S., Rao, B. K., Kumar, G., Parandiyal, A. K., Singh, A. K., … others. (2012). Economic analysis of bamboo plantation in three major ravine systems of India. Agricultural Economics Research Review, 25(1)",http://ageconsearch.umn.edu/bitstream/126042/1/5-VC-Pande.pdf,Asia (Sans Japan),India,1  - Peer Reviewed,2012,,40516.666666666664,Ruppee 2011/ha/yr,945.3888888888889,US$2014/ ha/ yr,,Refer table 6; average annual costs (for years 7 and onwards) in Yamuna Ravines,
"Meng et al. 2014; EXCLUDED; Meng, H., Liu, Q., & Wu, W. (2014). Study on the cost-benefit and carbon sequestration capacities of Phyllostachys edulis plantations under different types of management. Journal of Zhejiang A & F University, (6), 24.",http://zjnldxxb.magtech.com.cn/CN/abstract/abstract1003.shtml,Asia (Sans Japan),China,1  - Peer Reviewed,2012,,5800.0,RMB 2012/ha/yr,865.7971014492754,US$2014/ ha/ yr,,Refer table 2; excluded as the paper is in chineese language and the data is not clear,True
"Wu & Cao 2016. EXCLUDED; Wu, W., & Cao, X. (2016). Study on the relationship between input, output and economic benefit of moso bamboo plantation. Journal of Nanjing Forestry University, 40(3).",http://en.cnki.com.cn/Article_en/CJFDTOTAL-NJLY201603019.htm,Asia (Sans Japan),China,1  - Peer Reviewed,2016,,6109.0,RMB 2013/ha/yr,1014.8501628664496,US$2014/ ha/ yr,,Refer table 4; average of multiple areas - excluded because the text is in chinese & it's unclear whether the data is annual,True
"Panda 2011; average annual net income over 30-year period; Panda, H. (2011). Bamboo Plantation and Utilization Handbook: Bamboo products manufacturing process, Bamboo Products Processing, Bamboo Products, Bamboo properties, Bamboo pulp manufacturing process, Bamboo Pulp, Bamboo pulp-Making process, Bamboo resources and their utilization, Bamboo Shoots, Bamboo Small Business Manufacturing, Bamboo Technology, Bamboo Used For Paper Manufacture, Bamboo Utilization, Bamboo: properties and utilization. Asia Pacific Business Press Inc..",https://books.google.com/books?id=nXJPAQAAQBAJ,Asia (Sans Japan),India,1  - Peer Reviewed,2011,,35000.0,Ruppee 2011/ha/yr,816.6666666666667,US$2014/ ha/ yr,,"Refer page 241; income section, average annual net income over 30-year period",
"Panda 2011; establishment (year 1) cost; Panda, H. (2011). Bamboo Plantation and Utilization Handbook: Bamboo products manufacturing process, Bamboo Products Processing, Bamboo Products, Bamboo properties, Bamboo pulp manufacturing process, Bamboo Pulp, Bamboo pulp-Making process, Bamboo resources and their utilization, Bamboo Shoots, Bamboo Small Business Manufacturing, Bamboo Technology, Bamboo Used For Paper Manufacture, Bamboo Utilization, Bamboo: properties and utilization. Asia Pacific Business Press Inc..",https://books.google.com/books?id=nXJPAQAAQBAJ,Asia (Sans Japan),India,1  - Peer Reviewed,2011,,10000.0,Ruppee 2011/acre/yr,576.5797331194134,US$2014/ ha/ yr,,"Refer page 241, Thanjavur case study, total income of Rs 20,000 per acre in every two years from 7th year onwards (operational cost is not available; only initial cost of Rs 2000/acre is given)",
"Panda 2011; establishment (year 1) cost; Panda, H. (2011). Bamboo Plantation and Utilization Handbook: Bamboo products manufacturing process, Bamboo Products Processing, Bamboo Products, Bamboo properties, Bamboo pulp manufacturing process, Bamboo Pulp, Bamboo pulp-Making process, Bamboo resources and their utilization, Bamboo Shoots, Bamboo Small Business Manufacturing, Bamboo Technology, Bamboo Used For Paper Manufacture, Bamboo Utilization, Bamboo: properties and utilization. Asia Pacific Business Press Inc..",https://books.google.com/books?id=nXJPAQAAQBAJ,Asia (Sans Japan),India,1  - Peer Reviewed,2011,,16060.0,Ruppee 2011/ha/yr,374.73333333333335,US$2014/ ha/ yr,,"Refer page 241, Maharasthra case study",
